feature_name,phase1_weight,phase1_rank,category,direction,q1_cohens_d,q1_p_raw,q1_p_fdr,q1_significant,q1_plays_higher,q2_shap_value,q2_shap_rank,q3_cv,q3_icc,q3_tier,norm_weight,norm_effect,norm_shap,norm_reliability,composite_score,composite_rank,classification
FOOT_USAGE_RATIO_RIGHT,0.0732907385165172,4,performance,higher,0.2165783571585095,0.7920133534496394,0.8910150226308444,False,True,0.9774389,1,0.1081955571023697,0.8681550130367084,Tier 2 (Use with caution),0.6163753568238871,0.5516610222963445,1.0,1.0,0.7920090947800579,1.0,Supporting Indicator
DEFENSIVE_IMPECT_SCORE_PACKING,0.063762059954754,5,performance,higher,0.3925931838667527,4.446534276603105e-06,0.0001200564254682,True,True,0.40803865,3,0.6239452858528671,0.0732176640066235,Tier 1 (Scout-ready),0.5297136596194586,1.0,0.40028913465775046,0.9941552005865532,0.7310394987159405,2.0,Core Predictor
GK_CAUGHT_HIGH_BALLS_PERCENT,0.0468635062572118,6,performance,higher,0.3395535482169871,0.0188214890404789,0.0564644671214368,False,True,0.2496408,8,0.9556025797400068,0.0918057229195147,Tier 1 (Scout-ready),0.3760242121019646,0.8648992447414283,0.23345936650810206,0.9903966521109714,0.6161948688656166,3.0,Supporting Indicator
TOTAL_TOUCHES,0.0378530640136705,9,performance,higher,0.3796126791597137,0.0026639338725214,0.010275173508297,True,True,0.18728293,12,0.2632393192397983,0.3879650566657823,Tier 1 (Scout-ready),0.2940757853262717,0.9669365000706568,0.16778202938259237,0.9982429468413005,0.6067593154052053,4.0,Core Predictor
FOOT_USAGE_RATIO_LEFT,0.0823094583275512,2,performance,lower,-0.2165783506405269,0.7920133534496394,0.8910150226308444,False,False,0.16407682,13,0.374168166814389,0.8681550093857232,Tier 2 (Use with caution),0.6983990666561961,0.5516610056939609,0.14334059945816327,0.9969858315640728,0.5975966258430983,5.0,Supporting Indicator
RATIO_PASSING_ACCURACY,0.0439988543346362,7,performance,higher,0.281213332324316,0.0014752796775006,0.0094951907003792,True,True,0.3025613,7,0.1716057365411364,0.2390255761411477,Tier 1 (Scout-ready),0.34997069419796756,0.7162970318398616,0.2891969585610464,0.9992813960746268,0.5886865201683756,6.0,Core Predictor
IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.0305120064765042,13,performance,higher,0.386240937074684,0.0018703762388047,0.0094951907003792,True,True,0.0652503,27,0.5486328631234313,0.1093754611038557,Tier 1 (Scout-ready),0.22731012612992751,0.9838197731058299,0.03925329386255959,0.9950086881981913,0.5613479703241271,7.0,Core Predictor
IMPECT_SCORE_PACKING,0.023304067552738,18,performance,higher,0.3836366649141745,0.002110042377862,0.0094951907003792,True,True,0.0830559,23,0.5491642555387396,0.1088330397074209,Tier 1 (Scout-ready),0.16175515789056932,0.9771862596686903,0.05800673098159485,0.9950026661260424,0.5479877036667242,8.0,Core Predictor
IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.0219083212254748,20,performance,higher,0.3851809750159258,0.0019652262572864,0.0094951907003792,True,True,0.027980948,30,0.5485835100413264,0.1093172613826459,Tier 1 (Scout-ready),0.14906108443605515,0.9811198738148683,0.0,0.9950092474982728,0.5312975514372991,9.0,Core Predictor
DIAGONAL_PASS_SCORE,0.0307620384385526,12,performance,higher,0.2631010663754943,0.0269206813846472,0.0660780361259524,False,True,0.13627842,18,1.752397934922176,0.0696463737844452,Tier 2 (Use with caution),0.2295841239404338,0.6701620842831332,0.11406242032295918,0.9813668673820708,0.49879387398214925,10.0,Supporting Indicator
LOW_PASS_SCORE,0.0262629868593321,14,performance,higher,0.2268702911614713,0.0257103392655273,0.0660780361259524,False,True,0.24741913,9,0.5271940826874993,0.1108725136028428,Tier 1 (Scout-ready),0.1886660214839096,0.5778762864066224,0.23111943139531468,0.9952516459048691,0.498228346297679,11.0,Supporting Indicator
GOAL_KICK_SCORE,0.0311474615802804,10,performance,higher,0.1134849294932856,0.6530505308910581,0.8396363968599319,False,True,0.39043418,4,0.4175378481955156,0.0919454660418526,Tier 2 (Use with caution),0.23308948130845625,0.28906495109146557,0.3817475341972806,0.9964943391324396,0.4750990764324105,12.0,Supporting Indicator
GK_SUCCESSFUL_LAUNCHES_PERCENT,0.0257230272173248,16,performance,higher,0.2448689526804076,0.0106405668181893,0.035911913011389,True,True,0.072966434,24,0.5778278049476181,0.1120264876543951,Tier 1 (Scout-ready),0.18375518115122977,0.6237218646249265,0.04738017718977406,0.9946778328058618,0.462383763942948,13.0,Core Predictor
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,0.0237140586397484,17,performance,higher,0.1783652086380552,0.8590281808897147,0.901820421973646,False,True,0.32020172,5,13.967969979376502,0.0564441788204053,Tier 3 (Noise),0.16548395650715683,0.45432579058375316,0.3077764227309352,0.8429323431539766,0.44262962824395546,14.0,Discarded
GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,0.0182616771224776,22,performance,higher,0.1974544436271116,0.0800837520318561,0.1663277926815473,False,True,0.16026114,14,1.0720629011889942,0.1521758604198566,Tier 2 (Use with caution),0.1158954817748001,0.5029492404384897,0.13932180116176432,0.989076850702362,0.436810843519354,15.0,Supporting Indicator
OFFENSIVE_IMPECT_SCORE_PACKING,0.0260712551532049,15,performance,higher,0.1753011650170111,0.5692936801604231,0.8089962823332328,False,True,0.11659063,19,1.004627422891432,0.1242186837471913,Tier 2 (Use with caution),0.1869222545016168,0.44652116292601973,0.09332659947009427,0.9898410718391408,0.4291527721842179,16.0,Supporting Indicator
GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.0128586505956288,24,performance,higher,0.2010710871945978,0.055496417001972,0.124866938254437,False,True,0.10964224,20,0.7833952398492685,0.0839492547870885,Tier 2 (Use with caution),0.0667558822151921,0.5121614318776404,0.08600832909765338,0.9923482136980674,0.41431846422213836,17.0,Supporting Indicator
PROGRESSION_SCORE_PACKING,0.0104640605470022,27,performance,higher,0.1680988115204142,0.487801567804991,0.7747436665138093,False,True,0.06766053,26,0.917279711906167,0.1340953272604905,Tier 2 (Use with caution),0.044977496431926015,0.42817557315887445,0.04179182650102234,0.9908309508860371,0.376443961744465,18.0,Supporting Indicator
GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,0.0145848375655808,23,performance,lower,-0.1117286966631289,0.3651695090743181,0.6573051163337725,False,False,0.049567632,29,3.2969174777914185,0.1114671223994197,Tier 3 (Noise),0.08245525663931254,0.28459153458214387,0.022735797782859585,0.9638634031726181,0.33841149804423354,19.0,Discarded
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,0.020568705500053,21,performance,higher,0.0415695851526986,0.6345053740369856,0.8396363968599319,False,True,0.22470424,10,13.43190848600921,0.0450239592743494,Tier 3 (Noise),0.13687750917802768,0.1058846328998097,0.2071953703537995,0.8490073282239547,0.3247412101638979,20.0,Discarded
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,0.0429637752437605,8,performance,higher,0.2950923354668097,0.1778974045412353,0.3430878516152396,False,True,0.15499003,16,88.3489874590351,0.0438197610413538,Tier 3 (Noise),0.340556827398424,0.751649156412672,0.13377009664562794,0.0,0.306494020114181,21.0,Discarded
PASS_COMPLETION_OVER_EXPECTED,0.0223356612208884,19,performance,higher,0.2873002234241627,0.0019049034672748,0.0094951907003792,True,True,0.06398135,28,63.82027460386139,0.1754260854023617,Tier 3 (Noise),0.1529476683989654,0.7318013537435059,0.037916794444837094,0.27797475891234,0.3001601438749121,22.0,Discarded
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,0.005518668062919,30,performance,lower,-0.0477178327486299,0.5499309673050166,0.8089962823332328,False,False,0.15976034,15,12.765314452118094,0.041631978952471,Tier 3 (Noise),0.0,0.12154523998263168,0.1387943423112222,0.8565615899154403,0.2792252930523236,23.0,Discarded
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,0.0122116162960802,25,performance,higher,0.0145702163184089,0.901820421973646,0.901820421973646,False,True,0.07092401,25,4.12278339689266,0.1184621700223516,Tier 3 (Noise),0.060871216237123424,0.03711275925603964,0.045229029794886584,0.9545041725798207,0.27442929446696757,24.0,Discarded
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,0.0112025881359809,26,performance,higher,0.015194755212175,0.7900472080618313,0.8910150226308444,False,True,0.09131861,22,5.535725381685889,0.0497801379200286,Tier 3 (Noise),0.05169427818485626,0.03870356347636475,0.06670928593160066,0.93849182778623,0.27389973884476293,25.0,Discarded
GK_PREVENTED_GOALS_TOTAL_SHOT_XG,0.0056004702578164,29,performance,lower,-0.0556358611166745,0.4331438014161544,0.7309301648897606,False,False,0.10105216,21,53.26969488279709,0.1163048513404571,Tier 3 (Noise),0.0007439769322583111,0.14171377243155978,0.07696097741461645,0.39754054581948595,0.15423981814948012,26.0,Discarded
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,0.0093712795910658,28,performance,higher,0.0228878407051571,0.8857401979312078,0.901820421973646,False,True,0.1401314,17,71.18125572202213,0.1383260168262153,Tier 3 (Noise),0.035038841066412016,0.05829912908759338,0.11812050419269118,0.1945555039453012,0.10150349457299944,27.0,Discarded
