n_features,model,auc_mean,auc_std,f1_mean,f1_std
5,Random Forest,0.7585123201823102,0.050494227496112536,0,0
5,XGBoost,0.7362573682461389,0.05375454569259355,0,0
10,Random Forest,0.7794071045010332,0.04822241103797255,0,0
10,XGBoost,0.7601462154888717,0.050134247015057344,0,0
15,Random Forest,0.7876199346821691,0.04349974900770354,0,0
15,XGBoost,0.7537327616149049,0.043596407423371855,0,0
20,Random Forest,0.789815328450738,0.046576923200772724,0,0
20,XGBoost,0.7668483646803949,0.04674163110938995,0,0
25,Random Forest,0.7869452294744838,0.04195478569240075,0,0
25,XGBoost,0.7714969377581542,0.044595160213457684,0,0
30,Random Forest,0.7866350197527718,0.041740201767763094,0,0
30,XGBoost,0.7755382599069959,0.04271533016583207,0,0
35,Random Forest,0.7896885533874567,0.039293513692558596,0,0
35,XGBoost,0.7802183174786419,0.03905167580983888,0,0
40,Random Forest,0.7794035187670072,0.04439849320955865,0,0
40,XGBoost,0.7615705015279973,0.03715977103100749,0,0
50,Random Forest,0.7858509871388342,0.037404030792326855,0,0
50,XGBoost,0.7693957351004632,0.032480425202760836,0,0
75,Random Forest,0.7854466550224014,0.038377677141379116,0,0
75,XGBoost,0.7979511215726256,0.03322741025160281,0,0
100,Random Forest,0.7893488082119554,0.04061557109326327,0,0
100,XGBoost,0.8045809438851367,0.043156042426596215,0,0
