playerId,name,status,age,origin_team,origin_comp,origin_median,origin_matches,raw_probability,scouting_score
104934,Erion Avdija,STAYED,21.0,SpVgg Unterhaching,regionalliga_bayern,0.28719256,15,0.6698,99.0
55897,Yohei Takaoka,STAYED,29.0,Yokohama F. Marinos,j1_league,0.614975735,86,0.6623,98.4
8669,Sammy Bossut,STAYED,40.0,SV Zulte Waregem,belgian_pro_league,0.67107149,46,0.6437,97.6
103676,Jhonny Peitzmeier,STAYED,25.0,VfB Oldenburg,regionalliga_nord,0.26403716,69,0.4979,97.4
66798,Charly Jan,STAYED,26.0,FC Bourg-Péronnas 01,france_3,0.513178375,44,0.4436,96.6
27185,Lucien Hawryluk,STAYED,25.0,SV Waldhof Mannheim,bundesliga_3,0.557671055,24,0.4847,95.3
77461,Jiri Letacek,STAYED,27.0,FC Banik Ostrau,chance_liga,0.345279435,62,0.5581,95.1
582,Manuel Neuer,STAYED,39.0,FC Bayern München,bundesliga_1,0.82647051,62,0.4124,94.3
37246,Petr Mikulec,STAYED,26.0,FK Mlada Boleslav,chance_liga,0.345279435,22,0.3931,93.6
15833,Dominik Reimann,STAYED,28.0,1. FC Magdeburg,bundesliga_2,0.710514535,93,0.3277,93.3
32521,Balsa Popovic,STAYED,25.0,OFK Belgrad,super_liga_srbije,0.34917809,58,0.3386,92.4
107163,Christian Rust,STAYED,21.0,SC Weiche Flensburg 08,regionalliga_nord,0.26403716,35,0.3752,92.1
15814,Florian Kastenmeier,STAYED,28.0,Fortuna Düsseldorf,bundesliga_2,0.710514535,91,0.2854,90.9
168451,Jarno Peters,STAYED,32.0,FC Gütersloh,regionalliga_west,0.37057419,76,0.2904,90.6
44770,Raphael Sallinger,STAYED,30.0,TSV Hartberg,bundesliga_austria,0.6016963049999999,66,0.2843,90.3
78648,Iker Álvarez,STAYED,24.0,FC Córdoba,laliga2,0.6,21,0.3272,90.1
56198,Takanori Sugeno,STAYED,41.0,Hokkaido Consadole Sapporo,j1_league,0.614975735,139,0.3027,89.7
6682,Jakob Haugaard,STAYED,33.0,Tromsø IL,eliteserien,0.5777367099999999,113,0.2532,89.3
50035,Amir Saipi,STAYED,25.0,FC Lugano,super_league_switzerland,0.6643794000000001,87,0.2561,89.1
13027,Djordje Petrovic,STAYED,26.0,RC Straßburg Alsace,ligue1,0.7712210150000001,31,0.2414,89.0
