feature,coeff_variation,icc_approx,abs_r_league,confounded,r_partial,p_partial,p_value_raw,abs_cohens_d,p_value_fdr,tier
FOOT_USAGE_RATIO_RIGHT,0.10819555710236972,0.8681550130367084,0.06860582268740055,False,0.06850510893152312,,0.7920133534496394,0.2165783571585095,0.8910150226308444,Tier 2 (Use with caution)
RATIO_PASSING_ACCURACY,0.17160573654113645,0.2390255761411477,0.002110989590648769,False,0.09906758375252031,,0.0014752796775006,0.281213332324316,0.0094951907003792,Tier 1 (Scout-ready)
TOTAL_TOUCHES,0.2632393192397983,0.3879650566657823,0.06950886848221086,False,0.15165129892302645,,0.0026639338725214,0.3796126791597137,0.010275173508297,Tier 1 (Scout-ready)
FOOT_USAGE_RATIO_LEFT,0.374168166814389,0.8681550093857232,0.06860582268740055,False,-0.0685051069915185,,0.7920133534496394,0.2165783506405269,0.8910150226308444,Tier 2 (Use with caution)
GOAL_KICK_SCORE,0.41753784819551565,0.09194546604185262,0.175114806585177,False,0.008799124853990323,,0.6530505308910581,0.1134849294932856,0.8396363968599319,Tier 2 (Use with caution)
LOW_PASS_SCORE,0.5271940826874993,0.11087251360284289,0.14286005940245805,False,0.06359882657947159,,0.0257103392655273,0.2268702911614713,0.0660780361259524,Tier 1 (Scout-ready)
IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,0.5485835100413264,0.10931726138264598,0.005129717053715434,False,0.14306917221077908,,0.0019652262572864,0.3851809750159258,0.0094951907003792,Tier 1 (Scout-ready)
IMPECT_SCORE_WITHOUT_GOALS_PACKING,0.5486328631234313,0.10937546110385576,0.005590867312249483,False,0.14343859221285432,,0.0018703762388047,0.386240937074684,0.0094951907003792,Tier 1 (Scout-ready)
IMPECT_SCORE_PACKING,0.5491642555387396,0.10883303970742098,0.005251025857689572,False,0.14246365542703057,,0.002110042377862,0.3836366649141745,0.0094951907003792,Tier 1 (Scout-ready)
GK_SUCCESSFUL_LAUNCHES_PERCENT,0.5778278049476181,0.11202648765439518,0.010708216357502846,False,0.1013724190302242,,0.0106405668181893,0.2448689526804076,0.035911913011389,Tier 1 (Scout-ready)
DEFENSIVE_IMPECT_SCORE_PACKING,0.6239452858528671,0.07321766400662352,0.06243934088337918,False,0.13091604523720526,,4.446534276603105e-06,0.3925931838667527,0.0001200564254682,Tier 1 (Scout-ready)
GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,0.7833952398492685,0.08394925478708856,0.15277296901506196,False,0.04253733788033067,,0.055496417001972,0.2010710871945978,0.124866938254437,Tier 2 (Use with caution)
PROGRESSION_SCORE_PACKING,0.917279711906167,0.13409532726049053,0.04276819100301131,False,0.08252521099402362,,0.487801567804991,0.1680988115204142,0.7747436665138093,Tier 2 (Use with caution)
GK_CAUGHT_HIGH_BALLS_PERCENT,0.9556025797400067,0.09180572291951472,0.11656132035557497,False,0.10152450130228685,,0.0188214890404789,0.3395535482169871,0.0564644671214368,Tier 1 (Scout-ready)
OFFENSIVE_IMPECT_SCORE_PACKING,1.004627422891432,0.12421868374719139,0.04063473285102414,False,0.08512457215452156,,0.5692936801604231,0.1753011650170111,0.8089962823332328,Tier 2 (Use with caution)
GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,1.0720629011889942,0.15217586041985665,0.0533026061880548,False,0.05843496279894509,,0.0800837520318561,0.1974544436271116,0.1663277926815473,Tier 2 (Use with caution)
DIAGONAL_PASS_SCORE,1.7523979349221759,0.0696463737844452,0.053642982424431204,False,0.11751676583798318,,0.0269206813846472,0.2631010663754943,0.0660780361259524,Tier 2 (Use with caution)
GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,3.2969174777914185,0.11146712239941971,0.0718925578198812,False,-0.05996626474182858,,0.3651695090743181,0.1117286966631289,0.6573051163337725,Tier 3 (Noise)
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,4.12278339689266,0.11846217002235163,0.13011840871491942,False,-0.023992525774650716,,0.901820421973646,0.0145702163184089,0.901820421973646,Tier 3 (Noise)
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,5.535725381685889,0.04978013792002862,0.021017536843776965,False,0.010868458062456366,,0.7900472080618313,0.015194755212175,0.8910150226308444,Tier 3 (Noise)
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,12.765314452118094,0.04163197895247105,0.029206579807585065,False,-0.01872493090937244,,0.5499309673050166,0.0477178327486299,0.8089962823332328,Tier 3 (Noise)
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,13.43190848600921,0.04502395927434945,0.065060513449129,False,0.02126703310586751,,0.6345053740369856,0.0415695851526986,0.8396363968599319,Tier 3 (Noise)
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,13.967969979376502,0.05644417882040535,0.1069586307537628,False,0.043618431948356864,,0.8590281808897147,0.1783652086380552,0.901820421973646,Tier 3 (Noise)
GK_PREVENTED_GOALS_TOTAL_SHOT_XG,53.26969488279709,0.11630485134045716,0.08705887683708856,False,-0.03454366335052564,,0.4331438014161544,0.0556358611166745,0.7309301648897606,Tier 3 (Noise)
PASS_COMPLETION_OVER_EXPECTED,63.82027460386139,0.17542608540236176,0.05168614641893567,False,0.10034040333978554,,0.0019049034672748,0.2873002234241627,0.0094951907003792,Tier 3 (Noise)
GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,71.18125572202213,0.13832601682621534,0.12622009889978877,False,-0.015885050859487427,,0.8857401979312078,0.0228878407051571,0.901820421973646,Tier 3 (Noise)
GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,88.3489874590351,0.043819761041353884,0.023140968112100816,False,0.10977266924849285,,0.1778974045412353,0.2950923354668097,0.3430878516152396,Tier 3 (Noise)
