feature,feature_name,category,coverage_pct,mean,std,n_non_null
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG,GK-specific,1.0,-0.01565761069890384,0.41356918482291444,693
mean_IMPECT_SCORE_WITHOUT_GOALS_PACKING,IMPECT_SCORE_WITHOUT_GOALS_PACKING,General,1.0,0.32706627325530496,0.07868383520633895,693
mean_FOOT_USAGE_RATIO_LEFT,FOOT_USAGE_RATIO_LEFT,General,1.0,0.22249626956139051,0.22500900705095228,693
mean_FOOT_USAGE_RATIO_RIGHT,FOOT_USAGE_RATIO_RIGHT,General,1.0,0.7775037352442243,0.22500900676528263,693
mean_RATIO_PASSING_ACCURACY,RATIO_PASSING_ACCURACY,General,1.0,0.7649919577010457,0.08088970110250518,693
mean_TOTAL_TOUCHES,TOTAL_TOUCHES,General,1.0,29.02307479493786,6.551597714789321,693
mean_GOAL_KICK_SCORE,GOAL_KICK_SCORE,General,1.0,0.17818034665714333,0.028182251865073202,693
mean_DIAGONAL_PASS_SCORE,DIAGONAL_PASS_SCORE,General,1.0,0.10156115576176325,0.059530723267321804,693
mean_LOW_PASS_SCORE,LOW_PASS_SCORE,General,1.0,0.14586772998344616,0.03844449545227252,693
mean_DEFENSIVE_IMPECT_SCORE_PACKING,DEFENSIVE_IMPECT_SCORE_PACKING,General,1.0,0.23432121449685003,0.05737787694223617,693
mean_OFFENSIVE_IMPECT_SCORE_PACKING,OFFENSIVE_IMPECT_SCORE_PACKING,General,1.0,0.09293744013110143,0.04329886526470772,693
mean_PROGRESSION_SCORE_PACKING,PROGRESSION_SCORE_PACKING,General,1.0,0.10004320466784453,0.04413313992090373,693
mean_IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,IMPECT_SCORE_WITH_POSTSHOT_XG_PACKING,General,1.0,0.32714570491533423,0.07867562793206781,693
mean_IMPECT_SCORE_PACKING,IMPECT_SCORE_PACKING,General,1.0,0.3272586549984178,0.07861851020709122,693
mean_GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,GK_PREVENTED_GOALS_TOTAL_POSTSHOT_XG_PERCENT,GK-specific,1.0,0.13805806313453858,0.2610623433335231,693
mean_GK_SUCCESSFUL_LAUNCHES_PERCENT,GK_SUCCESSFUL_LAUNCHES_PERCENT,GK-specific,1.0,0.39784330129465717,0.0972153466421247,693
mean_GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,GK_CAUGHT_AND_PUNCHED_HIGH_BALLS_PERCENT,GK-specific,1.0,0.13269015584682467,0.03784413300536511,693
mean_GK_CAUGHT_HIGH_BALLS_PERCENT,GK_CAUGHT_HIGH_BALLS_PERCENT,GK-specific,1.0,0.09284934528691885,0.03478741681460049,693
mean_GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,GK_DEFENSIVE_TOUCHES_OUTSIDE_OWN_BOX,GK-specific,1.0,0.9748625698175211,0.5295952211107038,693
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,GK_PREVENTED_GOALS_TOTAL_SHOT_XG_PERCENT,GK-specific,1.0,0.19946066227273315,0.2978838619592777,693
mean_GK_PREVENTED_GOALS_TOTAL_SHOT_XG,GK_PREVENTED_GOALS_TOTAL_SHOT_XG,GK-specific,1.0,-0.027032343063830257,0.4702007085550067,693
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_HEADER_SHOT_RATIO,GK-specific,1.0,0.02288361712399412,0.08614673315115585,693
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION1V1_AGAINST_GK_SHOT_RATIO,GK-specific,1.0,0.018362783709002156,0.07969475638284876,693
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_CLOSE_RANGE_SHOT_RATIO,GK-specific,1.0,0.018060077026519867,0.08130684627124254,693
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_MID_RANGE_SHOT_RATIO,GK-specific,1.0,0.07607949345678093,0.1333463346833466,693
mean_GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,GK_PREVENTED_GOALS_POST_SHOT_XG_BY_ACTION_LONG_RANGE_SHOT_RATIO,GK-specific,1.0,-2.6532873954964983e-05,0.07904214952752554,693
mean_PASS_COMPLETION_OVER_EXPECTED,PASS_COMPLETION_OVER_EXPECTED,General,1.0,-0.0028576735184277498,0.06477446784874884,693
